,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kenridge,1634886.0,1788620.0,1994272.0,1983103.0,2351367.0,2916923.0,2917321.0,2759843.0,2774821.0,3191666.0
Roundhay,1198480.0,1196041.0,1251304.0,1460000.0,1520777.0,1693157.0,2054503.0,2193000.0,2381733.0,1722500.0
Beach Estate,1237173.0,1235209.0,1435216.0,1522718.0,1642622.0,1781742.0,2093598.0,2300774.0,1809500.0,2357142.0
Philadelphia,1364285.0,1108333.0,1179500.0,863750.0,907629.0,2319500.0,1931550.0,3661350.0,2849446.0,2995000.0
Val De Vie Estate,780294.0,910808.0,1042142.0,1807474.0,3476494.0,1944356.0,2076009.0,3704419.0,5067132.0,5832500.0
Jamestown,,,,,,,,,,
Mossel Bay,684192.0,641011.0,700835.0,805626.0,777702.0,801745.0,873365.0,900992.0,1002555.0,1139497.0
Paradyskloof,3014444.0,2712785.0,2937500.0,3242633.0,3318125.0,3517058.0,4401291.0,4644444.0,3880000.0,3900000.0
Kylemore,471724.0,360105.0,509393.0,381054.0,1153666.0,1816395.0,1397222.0,1581078.0,1633815.0,2271250.0
Paarl,928851.0,927715.0,1070474.0,1285531.0,1506995.0,1518173.0,1573530.0,1341602.0,1653967.0,1614855.0
Parel Vallei,2115625.0,2562771.0,2619821.0,3180000.0,3034531.0,3585812.0,3228873.0,3796526.0,3697142.0,2500000.0
Somerset West,1047527.0,1279164.0,1309802.0,1489567.0,1553952.0,1800808.0,1975705.0,1943047.0,2083355.0,1936197.0
Schonenberg Estate,1129436.0,1318784.0,1696057.0,2093730.0,2339713.0,2820990.0,3247391.0,3265255.0,3288500.0,2100000.0
Ruyteplaats,,,,,,,,,,
Croydon,328333.0,342571.0,269000.0,311375.0,130000.0,369281.0,359397.0,360000.0,589800.0,558333.0
Plettenberg Bay,1425859.0,1347601.0,1100047.0,1199477.0,1165137.0,1396800.0,1290362.0,1566144.0,1791054.0,1976418.0
Constantia,3978717.0,4386627.0,4932388.0,5022925.0,7565529.0,6077900.0,6502741.0,7343875.0,6994175.0,6355416.0
Wilderness,1217913.0,1148078.0,1034547.0,1169110.0,1365698.0,1311362.0,1609210.0,1228046.0,1451786.0,1504708.0
Kenrock Country Estate,4960555.0,5862500.0,4649444.0,5379500.0,3971875.0,7764142.0,8795000.0,7050000.0,7100000.0,6100000.0
Boston,888709.0,867626.0,979092.0,1091623.0,1143887.0,1271765.0,1384245.0,1393243.0,1227647.0,1461846.0
De Wijnlanden Residential Estate,1718997.0,1326750.0,1244600.0,1667546.0,1999444.0,1152117.0,1860162.0,1709333.0,2813500.0,1208999.0
Brackenfell,720110.0,745019.0,801830.0,878391.0,964848.0,1058610.0,1273592.0,1371198.0,1420261.0,1484304.0
Camps Bay,5857837.0,6266264.0,6504176.0,7198162.0,8874888.0,12333466.0,13745664.0,13894457.0,5400755.0,11030000.0
Gardens,1149132.0,1286658.0,1533611.0,1758983.0,1971474.0,2503731.0,2929372.0,3030514.0,2323240.0,2042708.0
Kuils River,528785.0,554417.0,611264.0,725699.0,822486.0,840089.0,951216.0,1088682.0,1076483.0,1228717.0
Langebaan,398857.0,584594.0,675594.0,760958.0,881005.0,922932.0,1055933.0,1131282.0,1274621.0,1195501.0
Hartenbos,880616.0,764042.0,966558.0,982600.0,994998.0,1026739.0,1281446.0,1385825.0,1342352.0,1309317.0
Welgevonden Estate,1290032.0,1544987.0,1500238.0,1751837.0,1719233.0,2076796.0,2421057.0,2413858.0,2432888.0,3066666.0
