,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Riviersonderend,370105.0,373833.0,393650.0,531846.0,307091.0,353987.0,314458.0,367195.0,474494.0,75000.0
Bainskloof,,,,,,,,,,
Porterville,485619.0,452297.0,520547.0,557445.0,473960.0,654851.0,591820.0,616205.0,807483.0,940000.0
Atlantis Industrial,2253622.0,2196230.0,9599785.0,3685077.0,5579016.0,4757960.0,4091600.0,3175616.0,13333991.0,
Scottsdene,370585.0,307064.0,348969.0,349602.0,392075.0,413411.0,452835.0,577526.0,521305.0,684750.0
Oubaai,1813317.0,926470.0,1280656.0,1414769.0,1741014.0,1925776.0,1235621.0,1524200.0,1517891.0,1535312.0
Wilderness Central,1367212.0,1266649.0,1122247.0,1481168.0,1765448.0,1647492.0,2369844.0,1482204.0,1868814.0,1947714.0
Grabouw Rural,,,,,,,,,,
Woodstock,911498.0,835385.0,1018008.0,970508.0,1247763.0,1706316.0,1811445.0,1825160.0,1653259.0,1638888.0
Montagu,733656.0,485692.0,421513.0,526087.0,404526.0,648475.0,461229.0,189218.0,640413.0,651007.0
Bergsig,135594.0,175750.0,231250.0,232500.0,242875.0,233152.0,292419.0,304444.0,275944.0,830000.0
Saxenburg Park 2,4535721.0,967949.0,2309117.0,2527695.0,3004241.0,2153850.0,3594000.0,1291833.0,5062500.0,3795000.0
Ruyterwacht,504513.0,512985.0,499816.0,592889.0,615184.0,717864.0,783065.0,948294.0,1013421.0,964545.0
Middleton,145000.0,204142.0,134000.0,70998.0,80666.0,201333.0,15880.0,123555.0,121500.0,155666.0
Big Bay,1769745.0,1668160.0,1813058.0,2089105.0,2602006.0,2197996.0,2663600.0,2348494.0,2525579.0,3196184.0
Ferndale,576061.0,566840.0,620840.0,615100.0,797859.0,985875.0,880650.0,884222.0,1027243.0,1162714.0
Observatory,967086.0,1065226.0,1121468.0,1124259.0,1509359.0,1718512.0,1933145.0,1955489.0,1958052.0,2109755.0
Hannasbaai,1444027.0,942500.0,695000.0,1332626.0,1435833.0,2000000.0,1220714.0,1168656.0,245000.0,
Strand North,1058703.0,1177510.0,1188948.0,1422318.0,1356699.0,1456601.0,1411979.0,1571544.0,1563733.0,1424818.0
Van Riebeeckstrand,1477954.0,2009913.0,1969875.0,2139983.0,2519230.0,2978185.0,3412342.0,3022812.0,2382500.0,3616666.0
Belvedere,2847500.0,3693571.0,4195555.0,3761000.0,4938571.0,3999166.0,7450000.0,5753500.0,6190000.0,
Dysselsdorp,64713.0,65640.0,68397.0,79974.0,85788.0,85754.0,117222.0,122644.0,145000.0,260000.0
